Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Churn
12346.0,164,11,372.86,1,4,2,142,At Risk,0
12347.0,2,2,1323.32,4,2,3,423,Potential Loyalists,0
12348.0,73,1,222.16,2,1,1,211,At Risk,0
12349.0,42,3,2671.14,3,3,4,334,Loyal Customers,0
12351.0,10,1,300.93,4,1,1,411,Potential Loyalists,0
12352.0,10,2,343.8,4,2,2,422,Potential Loyalists,0
12353.0,43,1,317.76,3,1,2,312,Potential Loyalists,0
12355.0,202,1,488.21,1,1,2,112,At Risk,1
12356.0,15,3,3560.3,4,3,4,434,Loyal Customers,0
12357.0,23,2,12079.99,3,2,4,324,Potential Loyalists,0
12358.0,10,3,2719.01,4,3,4,434,Loyal Customers,0
12359.0,60,6,2563.36,2,4,4,244,At Risk,0
12360.0,14,5,1590.83,4,3,3,433,Loyal Customers,0
12361.0,97,3,321.35,2,3,2,232,At Risk,0
12362.0,373,1,130.0,1,1,1,111,At Risk,1
12366.0,268,1,500.24,1,1,2,112,At Risk,1
12368.0,263,1,917.7,1,1,3,113,At Risk,1
12369.0,48,3,1791.15,3,3,4,334,Loyal Customers,0
12370.0,259,3,774.62,1,3,3,133,At Risk,1
12371.0,44,3,2179.42,3,3,4,334,Loyal Customers,0
12373.0,259,2,763.0500000000001,1,2,3,123,At Risk,1
12374.0,56,3,2246.29,2,3,4,234,At Risk,0
12376.0,24,2,503.15,3,2,2,322,Potential Loyalists,0
12377.0,16,2,1798.2,4,2,4,424,Potential Loyalists,0
12378.0,197,1,1407.7,1,1,3,113,At Risk,1
12379.0,57,2,767.98,2,2,3,223,At Risk,0
12380.0,100,7,6951.49,2,4,4,244,At Risk,0
12385.0,14,1,1938.4,4,1,4,414,Potential Loyalists,0
12386.0,1,1,258.90000000000003,4,1,1,411,Potential Loyalists,0
12387.0,50,1,143.94,3,1,1,311,Potential Loyalists,0
12388.0,80,2,1120.45,2,2,3,223,At Risk,0
12389.0,37,3,1433.33,3,3,3,333,Loyal Customers,0
12391.0,99,5,2285.18,2,3,4,234,At Risk,0
12392.0,226,1,234.75000000000003,1,1,1,111,At Risk,1
12393.0,17,2,816.85,4,2,3,423,Potential Loyalists,0
12395.0,6,4,2048.64,4,3,4,434,Loyal Customers,0
12396.0,309,1,931.43,1,1,3,113,At Risk,1
12399.0,20,3,853.65,3,3,3,333,Loyal Customers,0
12400.0,49,1,205.25,3,1,1,311,Potential Loyalists,0
12402.0,27,5,1031.3,3,3,3,333,Loyal Customers,0
12403.0,156,1,591.6600000000001,1,1,2,112,At Risk,0
12404.0,317,1,63.24,1,1,1,111,At Risk,1
12406.0,34,3,2975.06,3,3,4,334,Loyal Customers,0
12408.0,20,3,1452.22,3,3,3,333,Loyal Customers,0
12409.0,55,4,12346.62,2,3,4,234,At Risk,0
12410.0,137,1,320.38,1,1,2,112,At Risk,0
12411.0,44,1,346.9,3,1,2,312,Potential Loyalists,0
12412.0,37,3,1370.05,3,3,3,333,Loyal Customers,0
12413.0,37,1,241.35,3,1,1,311,Potential Loyalists,0
12414.0,98,3,390.0,2,3,2,232,At Risk,0
12415.0,10,7,19543.84,4,4,4,444,Champions,0
12416.0,291,1,202.56,1,1,1,111,At Risk,1
12417.0,45,11,3148.31,3,4,4,344,Loyal Customers,0
12418.0,48,3,1352.62,3,3,3,333,Loyal Customers,0
12419.0,20,2,503.01,3,2,2,322,Potential Loyalists,0
12421.0,50,2,291.56,3,2,1,321,Potential Loyalists,0
12422.0,29,14,4428.24,3,4,4,344,Loyal Customers,0
12423.0,22,2,763.08,3,2,3,323,Potential Loyalists,0
12424.0,57,2,1579.07,2,2,3,223,At Risk,0
12425.0,83,1,964.21,2,1,3,213,At Risk,0
12426.0,297,1,762.48,1,1,3,113,At Risk,1
12427.0,6,1,303.5,4,1,1,411,Potential Loyalists,0
12429.0,0,5,3735.51,4,3,4,434,Loyal Customers,0
12431.0,8,13,4370.52,4,4,4,444,Champions,0
12433.0,1,5,7205.39,4,3,4,434,Loyal Customers,0
12434.0,16,1,297.29,4,1,1,411,Potential Loyalists,0
12435.0,31,4,6096.04,3,3,4,334,Loyal Customers,0
12437.0,30,21,7731.99,3,4,4,344,Loyal Customers,0
12439.0,317,2,1142.88,1,2,3,123,At Risk,1
12440.0,97,2,859.2,2,2,3,223,At Risk,0
12441.0,1,1,173.55,4,1,1,411,Potential Loyalists,0
12443.0,367,1,485.31,1,1,2,112,At Risk,1
12445.0,55,1,301.58000000000004,2,1,1,211,At Risk,0
12449.0,45,2,768.6,3,2,3,323,Potential Loyalists,0
12450.0,34,3,490.32,3,3,2,332,Loyal Customers,0
12451.0,98,3,3634.36,2,3,4,234,At Risk,0
12454.0,30,4,13151.44,3,3,4,334,Loyal Customers,0
12455.0,80,4,3413.09,2,3,4,234,At Risk,0
12457.0,70,1,632.6800000000001,2,1,2,212,At Risk,0
12458.0,62,2,830.09,2,2,3,223,At Risk,0
12459.0,240,1,454.36,1,1,2,112,At Risk,1
12460.0,91,1,326.65,2,1,2,212,At Risk,0
12466.0,317,1,56.73,1,1,1,111,At Risk,1
12467.0,58,1,132.8,2,1,1,211,At Risk,0
12468.0,161,3,2941.2,1,3,4,134,At Risk,0
12469.0,157,2,3070.54,1,2,4,124,At Risk,0
12470.0,324,1,211.95,1,1,1,111,At Risk,1
12471.0,9,49,20129.54,4,4,4,444,Champions,0
12472.0,4,13,11308.48,4,4,4,444,Champions,0
12474.0,13,13,5048.66,4,4,4,444,Champions,0
12475.0,44,1,426.26,3,1,2,312,Potential Loyalists,0
12476.0,31,12,7267.49,3,4,4,344,Loyal Customers,0
12477.0,34,3,7056.63,3,3,4,334,Loyal Customers,0
12480.0,34,3,2183.2200000000003,3,3,4,334,Loyal Customers,0
12481.0,0,6,6765.07,4,4,4,444,Champions,0
12482.0,211,29,23691.4,1,4,4,144,At Risk,1
12483.0,13,11,2612.2000000000003,4,4,4,444,Champions,0
12484.0,118,6,1826.78,2,4,4,244,At Risk,0
12485.0,164,1,708.1,1,1,3,113,At Risk,0
12486.0,66,1,1037.28,2,1,3,213,At Risk,0
12487.0,365,1,285.3,1,1,1,111,At Risk,1
12490.0,13,11,4405.71,4,4,4,444,Champions,0
12492.0,38,1,452.0,3,1,2,312,Potential Loyalists,0
12494.0,0,3,626.77,4,3,2,432,Loyal Customers,0
12495.0,275,1,357.4,1,1,2,112,At Risk,1
12496.0,255,2,45.34,1,2,1,121,At Risk,1
12497.0,35,2,5205.400000000001,3,2,4,324,Potential Loyalists,0
12499.0,195,1,393.72,1,1,2,112,At Risk,1
