Description,Quantity,Revenue,Risk
  DOORMAT UNION JACK GUNS AND ROSES,167,1071.25,Normal Demand
 3 STRIPEY MICE FELTCRAFT,662,1241.1,Normal Demand
 4 PURPLE FLOCK DINNER CANDLES,200,265.2,Normal Demand
 ANIMAL STICKERS,385,80.85,Normal Demand
 BLACK PIRATE TREASURE CHEST,45,74.25,Normal Demand
 BROWN  PIRATE TREASURE CHEST ,36,59.4,Normal Demand
 Bank Charges,2,30.0,Normal Demand
 CAMPHOR WOOD PORTOBELLO MUSHROOM,43,53.75,Normal Demand
 CHERRY BLOSSOM  DECORATIVE FLASK,308,1068.6000000000001,Normal Demand
 FAIRY CAKE CANDLES,153,202.05,Normal Demand
 FLAMINGO LIGHTS,335,1523.8500000000001,Normal Demand
 HOME SWEET HOME  BLACKBOARD,117,722.3100000000001,Normal Demand
 IVORY PAPER CUP CAKE CASES ,1146,521.1,High Demand
 LARGE SKULL WINDMILL,8,16.8,Normal Demand
 NEW BAROQUE BLACK BOXES,6,76.5,Normal Demand
 OVAL WALL MIRROR DIAMANTE ,20,199.0,Normal Demand
 PAINT YOUR OWN CANVAS SET,480,724.8,Normal Demand
 PEACE WOODEN BLOCK LETTERS,133,917.15,Normal Demand
 RED/WHITE DOT MINI CASES,478,3528.18,Normal Demand
 RIDGED GLASS T-LIGHT HOLDER,940,531.8000000000001,Normal Demand
 SET 2 TEA TOWELS I LOVE LONDON ,1055,3022.65,Normal Demand
 SET Of 6 SOLDIER SKITTLES,16,60.0,Normal Demand
 SILVER CHERRY LIGHTS,264,1594.8000000000002,Normal Demand
 SILVER T-LIGHT SETTING,37,240.15,Normal Demand
 STAR  T-LIGHT HOLDER ,20,28.999999999999996,Normal Demand
 VINTAGE DESIGN GIFT TAGS,244,207.4,Normal Demand
 WHITE BAMBOO RIBS LAMPSHADE,210,148.26,Normal Demand
 WHITE CHERRY LIGHTS,1986,11697.300000000001,High Demand
10 COLOUR SPACEBOY PEN,6015,5000.429999999999,High Demand
11 PC CERAMIC TEA SET POLKADOT,3,14.85,Normal Demand
12 ASS ZINC CHRISTMAS DECORATIONS,429,900.9000000000001,Normal Demand
12 COLOURED PARTY BALLOONS,2116,1309.4,High Demand
12 DAISY PEGS IN WOOD BOX,576,950.4,Normal Demand
12 EGG HOUSE PAINTED WOOD,364,3751.4,Normal Demand
12 IVORY ROSE PEG PLACE SETTINGS,1647,1969.83,High Demand
12 MESSAGE CARDS WITH ENVELOPES,1396,2231.4,High Demand
12 MINI TOADSTOOL PEGS,465,581.25,Normal Demand
12 PENCIL SMALL TUBE WOODLAND,5238,3325.5,High Demand
12 PENCILS SMALL TUBE POSY,518,336.7,Normal Demand
12 PENCILS SMALL TUBE RED RETROSPOT,3610,2346.5,High Demand
12 PENCILS SMALL TUBE RED SPOTTY,7997,4998.05,High Demand
12 PENCILS SMALL TUBE SKULL,6216,3977.2000000000003,High Demand
12 PENCILS TALL TUBE POSY,2047,732.91,High Demand
12 PENCILS TALL TUBE RED RETROSPOT,1210,1028.5,High Demand
12 PENCILS TALL TUBE RED SPOTTY,2239,1878.1899999999998,High Demand
12 PENCILS TALL TUBE SKULLS,2651,2248.67,High Demand
12 PENCILS TALL TUBE WOODLAND,2634,2164.02,High Demand
12 PINK HEN+CHICKS IN BASKET,49,124.95,Normal Demand
12 PINK ROSE PEG PLACE SETTINGS,1260,1486.08,High Demand
12 RED ROSE PEG PLACE SETTINGS,767,949.63,Normal Demand
15 PINK FLUFFY CHICKS IN BOX,19,56.050000000000004,Normal Demand
15CM CHRISTMAS GLASS BALL 20 LIGHTS,1314,9669.300000000001,High Demand
2 DAISIES HAIR COMB,12,35.400000000000006,Normal Demand
2 PICTURE BOOK EGGS EASTER BUNNY,560,535.0,Normal Demand
2 PICTURE BOOK EGGS EASTER CHICKS,557,531.25,Normal Demand
2 PICTURE BOOK EGGS EASTER DUCKS,548,520.0,Normal Demand
20 DOLLY PEGS RETROSPOT,3221,3769.63,High Demand
200 BENDY SKULL STRAWS,601,682.85,Normal Demand
200 RED + WHITE BENDY STRAWS,1226,1482.34,High Demand
24 HANGING EASTER EGGS FLORAL TUB,654,2222.1,Normal Demand
3 BIRDS CANVAS SCREEN,1,1.65,Normal Demand
3 BLACK CATS W HEARTS BLANK CARD,55,10.450000000000001,Normal Demand
3 GARDENIA MORRIS BOXED CANDLES,339,1343.07,Normal Demand
3 HEARTS HANGING DECORATION RUSTIC,5492,15454.2,High Demand
